"Town(s)","College(s)","Town Link(s)","College Link(s)"
"Lexington","Lexington Female College","",""
"Silverton","Liberal University","","https://en.wikipedia.org/w/index.php?title=Liberal_University&action=edit&redlink=1"
"Lynchburg","Liberty University","https://en.wikipedia.org/wiki/Lynchburg,_Virginia","https://en.wikipedia.org/wiki/Lynchburg_College"
"Licentiate's degree","Licenciado","",""
"San Dimas","Life Pacific University","","https://en.wikipedia.org/wiki/Life_Pacific_University"
"Private","Life University","","https://en.wikipedia.org/wiki/Life_University"
"Manhattan","Lim College","","https://en.wikipedia.org/wiki/LIM_College"
"Gaffney","Limestone University","","https://en.wikipedia.org/wiki/Limestone_University"
"Southington","Lincoln College Of New England","","https://en.wikipedia.org/wiki/Lincoln_College_of_New_England"
"Fort Pierce","Lincoln Junior College","","https://en.wikipedia.org/wiki/Lincoln_Junior_College"
"No. 526","Lincoln Land Community College","","https://en.wikipedia.org/wiki/Lincoln_Land_Community_College"
"Harrogate","Lincoln Memorial University","https://en.wikipedia.org/wiki/Harrogate,_Tennessee","https://en.wikipedia.org/wiki/Lincoln_Memorial_University"
"Lincoln","Lincoln Normal University","",""
"Lincoln","Lincoln School Of Commerce","","https://en.wikipedia.org/wiki/Lincoln_Business_College"
"Melrose Park","Lincoln Tech","","https://en.wikipedia.org/wiki/Lincoln_Tech"
"Edison , Mahwah , Moorestown , Paramus , South Plainfield , Union , New Britain , Shelton , Columbia , Brockton , Lowell , Somerville , New York City , Allentown , Philadelphia (3 locations), and Lincoln","Lincoln Technical Institute","","https://en.wikipedia.org/wiki/Lincoln_Tech"
"Lincoln","Lincoln University","https://en.wikipedia.org/wiki/Lincoln,_New_Zealand","https://en.wikipedia.org/wiki/Lincoln_University_(New_Zealand)"
"Brenda Allen, President","Lincoln University (Pennsylvania)","","https://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania)"
"Jefferson City","Lincoln University Of Missouri","","https://en.wikipedia.org/wiki/Lincoln_University_of_Missouri"
"St. Charles","Lindenwood University","","https://en.wikipedia.org/wiki/Lindenwood_University"
"Columbia","Lindsey Wilson University","https://en.wikipedia.org/wiki/Columbia,_Kentucky","https://en.wikipedia.org/wiki/Lindsey_Wilson_University"
"Richlands","Lindsey Wilson University School Of Professional Counseling","","https://en.wikipedia.org/wiki/Lindsey_Wilson_University"
"McMinnville Portland","Linfield University","","https://en.wikipedia.org/wiki/Linfield_University"
"Linköping","Linköping University","https://en.wikipedia.org/wiki/Link%C3%B6ping","https://en.wikipedia.org/wiki/Link%C3%B6ping_University"
"Växjö","Linnaeus University","https://en.wikipedia.org/wiki/V%C3%A4xj%C3%B6","https://en.wikipedia.org/wiki/Linnaeus_University"
"Albany","Linn–Benton Community College","","https://en.wikipedia.org/wiki/Linn%E2%80%93Benton_Community_College"
"near Gastonia","Linwood Female College","","https://en.wikipedia.org/wiki/Linwood_Female_College"
"Nashville","Lipscomb University","","https://en.wikipedia.org/wiki/Lipscomb_University"
"Litchfield","Litchfield Female Academy","","https://en.wikipedia.org/wiki/Litchfield_Female_Academy"
"Litchfield","Litchfield Law School","","https://en.wikipedia.org/wiki/Litchfield_Law_School"
"Winnebago","Little Priest Tribal College","","https://en.wikipedia.org/wiki/Little_Priest_Tribal_College"
"Livingston","Livingston Female Academy","",""
"Salisbury","Livingstone College","https://en.wikipedia.org/wiki/Salisbury,_North_Carolina","https://en.wikipedia.org/wiki/Catawba_College"
"Lock Haven","Lock Haven University Of Pennsylvania","https://en.wikipedia.org/wiki/Lock_Haven,_Pennsylvania","https://en.wikipedia.org/wiki/Lock_Haven_University_of_Pennsylvania"
"Russellville","Logan Female College","",""
"Loma Linda","Loma Linda University","https://en.wikipedia.org/wiki/Loma_Linda,_California","https://en.wikipedia.org/wiki/Loma_Linda_University"
"Cy-Fair Kingwood Montgomery North Harris Tomball University Park","Lone Star College System","","https://en.wikipedia.org/wiki/Lone_Star_College_System"
"Hanover","Long College For Women","","https://en.wikipedia.org/wiki/Long_College_for_Women"
"Brookville","Long Island University","","https://en.wikipedia.org/wiki/LIU_Post"
"Enfield","Longview College","","https://en.wikipedia.org/w/index.php?title=Longview_College&action=edit&redlink=1"
"Farmville","Longwood University","https://en.wikipedia.org/wiki/Farmville,_Virginia","https://en.wikipedia.org/wiki/Longwood_University"
"Cambridge","Longy School Of Music Of Bard College","","https://en.wikipedia.org/wiki/Longy_School_of_Music_of_Bard_College"
"Elyria , Wellington , North Ridgeville , and Lorain","Lorain County Community College","","https://en.wikipedia.org/wiki/Lorain_County_Community_College"
"Dubuque, Iowa","Loras College","","https://en.wikipedia.org/wiki/Loras_College"
"Denver","Loretto Heights College","","https://en.wikipedia.org/wiki/Loretto_Heights_College"
"Pasadena","Los Angeles College Of Music","","https://en.wikipedia.org/wiki/Los_Angeles_College_of_Music"
"East Los Angeles","Los Angeles Pacific College","","https://en.wikipedia.org/wiki/Los_Angeles_Pacific_College"
"Louisburg","Louisburg Female College","","https://en.wikipedia.org/wiki/Louisburg_Female_College"
"Shreveport, Louisiana","Louisiana Baptist University","","https://en.wikipedia.org/wiki/Louisiana_Baptist_University"
"Pineville, Louisiana","Louisiana Christian University","","https://en.wikipedia.org/wiki/Louisiana_Christian_University"
"Baton Rouge","Louisiana State University","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","https://en.wikipedia.org/wiki/Louisiana_State_University"
"Baton Rouge","Louisiana State University And Agricultural & Mechanical College","","https://en.wikipedia.org/wiki/Louisiana_State_University"
"Shreveport","Louisiana State University Health Sciences Center Shreveport","","https://en.wikipedia.org/wiki/LSU_Health_Sciences_Center_Shreveport"
"New Orleans","Louisiana State University Health Sciences Center, New Orleans","","https://en.wikipedia.org/wiki/LSU_Health_Sciences_Center_New_Orleans"
"Ruston","Louisiana Tech University","https://en.wikipedia.org/wiki/Ruston,_Louisiana","https://en.wikipedia.org/wiki/Louisiana_Tech_University"
"Louisville","Louisville Municipal College","","https://en.wikipedia.org/wiki/Louisville_Municipal_College"
"Sylvania","Lourdes University","","https://en.wikipedia.org/wiki/Lourdes_University"
"Sisters of St. Francis Sylvania","Lourdes University ( Sylvania, Ohio )","",""
"Los Angeles, California","Loyola Law School","","https://en.wikipedia.org/wiki/Loyola_Law_School"
"Los Angeles","Loyola Marymount University","","https://en.wikipedia.org/wiki/Loyola_Marymount_University"
"Los Angeles, California","Loyola Marymount University College Of Science And Engineering","",""
"Stritch School of Medicine ( Maywood, Illinois )","Loyola University Chicago","","https://en.wikipedia.org/wiki/Loyola_University_Chicago"
"Chicago, Illinois","Loyola University Chicago School Of Law","","https://en.wikipedia.org/wiki/Loyola_University_Chicago_School_of_Law"
"Baltimore","Loyola University Maryland","","https://en.wikipedia.org/wiki/Loyola_University_Maryland"
"New Orleans, Louisiana","Loyola University New Orleans College Of Law","","https://en.wikipedia.org/wiki/Loyola_University_New_Orleans_College_of_Law"
"Lubbock","Lubbock Christian University","https://en.wikipedia.org/wiki/Lubbock,_Texas","https://en.wikipedia.org/wiki/Texas_Tech_University"
"Lublin","Lublin University Of Technology","https://en.wikipedia.org/wiki/Lublin","https://en.wikipedia.org/wiki/Maria_Curie-Sk%C5%82odowska_University"
"Luleå","Luleå University Of Technology","https://en.wikipedia.org/wiki/Lule%C3%A5","https://en.wikipedia.org/wiki/Lule%C3%A5_University_of_Technology"
"Las Vegas (Main) Mora Santa Rosa Springer","Luna Community College","","https://en.wikipedia.org/wiki/Luna_Community_College"
"Lund","Lund University","https://en.wikipedia.org/wiki/Lund","https://en.wikipedia.org/wiki/Lund_University"
"Andalusia","Lurleen B. Wallace Community College","","https://en.wikipedia.org/wiki/Lurleen_B._Wallace_Community_College"
"Decorah","Luther College","https://en.wikipedia.org/wiki/Decorah,_Iowa","https://en.wikipedia.org/wiki/Luther_College_(Iowa)"
"Teaneck","Luther College Of Bible","",""
"Lithonia, Georgia","Luther Rice University","","https://en.wikipedia.org/wiki/Luther_Rice_University"
"St. Paul","Luther Seminary","","https://en.wikipedia.org/wiki/Luther_Seminary"
"Chicago","Lutheran School Of Theology At Chicago","","https://en.wikipedia.org/wiki/Lutheran_School_of_Theology_at_Chicago"
"Santa Maria, Rio Grande do Sul","Lutheran University Of Brazil","https://en.wikipedia.org/wiki/Santa_Maria,_Rio_Grande_do_Sul","https://en.wikipedia.org/wiki/Federal_University_of_Santa_Maria"
"Lutherville","Lutherville Female Seminary","",""
"Nanticoke","Luzerne County Community College","","https://en.wikipedia.org/wiki/Luzerne_County_Community_College"
"Williamsport","Lycoming College","https://en.wikipedia.org/wiki/Williamsport,_Pennsylvania","https://en.wikipedia.org/wiki/Lycoming_College"
"Lynchburg","Lynchburg College","https://en.wikipedia.org/wiki/Lynchburg,_Virginia","https://en.wikipedia.org/wiki/Lynchburg_College"
"Lyndonville","Lyndon State College","","https://en.wikipedia.org/wiki/Lyndon_State_College"
"Boca Raton","Lynn University","","https://en.wikipedia.org/wiki/Lynn_University"
"formerly Marymount College of Boca Raton","Lynn University ( Boca Raton, Florida )","",""
"Glendale","Lynnland Female Institute","","https://en.wikipedia.org/wiki/Lynnland_Female_Institute"
"Batesville","Lyon College","","https://en.wikipedia.org/wiki/Lyon_College"
"Lübeck","Lübeck University Of Applied Sciences","https://en.wikipedia.org/wiki/L%C3%BCbeck","https://en.wikipedia.org/wiki/University_of_L%C3%BCbeck"
"Saint Paul","Macalester College","https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota","https://en.wikipedia.org/wiki/Saint_Catherine_University"
"Edmonton","Macewan University","","https://en.wikipedia.org/wiki/MacEwan_University"
"Mackinac Island","Mackinac College","","https://en.wikipedia.org/wiki/Mackinac_College"
"Jacksonville","Macmurray College","","https://en.wikipedia.org/wiki/MacMurray_College"
"Warren","Macomb Community College","","https://en.wikipedia.org/wiki/Macomb_Community_College"
"Montessori Accreditation Council for Teacher Education","Macte","","https://en.wikipedia.org/wiki/Higher_education_accreditation_in_the_United_States#Recognized_institutional_accreditors"
"Madison","Madison Area Technical College","","https://en.wikipedia.org/wiki/Madison_Area_Technical_College"
"Madison","Madison Business College","","https://en.wikipedia.org/wiki/Madison_Business_College"
"Harrisonburg","Madison College","","https://en.wikipedia.org/wiki/James_Madison_University"
"Madison","Madison Collegiate Institute And Methodist Female College","",""
"Madison","Madison Media Institute","","https://en.wikipedia.org/wiki/Madison_Media_Institute"
"Livonia","Madonna University","","https://en.wikipedia.org/wiki/Madonna_University"
"Felician Sisters of Livonia","Madonna University ( Livonia, Michigan )","",""
"Warner, New Hampshire","Magdalen College Of The Liberal Arts","","https://en.wikipedia.org/wiki/Magdalen_College_of_the_Liberal_Arts"
"Albion","Magic Valley Christian College","","https://en.wikipedia.org/wiki/Magic_Valley_Christian_College"
"Fairfield","Maharishi International University","","https://en.wikipedia.org/wiki/Maharishi_International_University"
"Portland","Maine College Of Art","https://en.wikipedia.org/wiki/Portland,_Maine","https://en.wikipedia.org/wiki/Maine_College_of_Art"
"Portland","Maine College Of Art & Design","","https://en.wikipedia.org/wiki/Maine_College_of_Art_%26_Design"
"Lewiston","Maine College Of Health Professions","","https://en.wikipedia.org/wiki/Maine_College_of_Health_Professions"
"Castine","Maine Maritime Academy","","https://en.wikipedia.org/wiki/Maine_Maritime_Academy"
"Rockport","Maine Media College","","https://en.wikipedia.org/wiki/Maine_Media_College"
"Florida Keys (1919) Tampa Bay (1921) Miami (1926) Okeechobee (1928) Florida Keys (1929) Treasure Coast (1933) Labor Day (1935) Dry Tortugas (1944) Homestead (1945) Fort Lauderdale (1947) South Florida (1948) 1949 Florida hurricane Easy (1950) King (1950) Donna (1960) Betsy (1965) Eloise (1975) Elena (1985) Andrew (1992) Opal (1995) Charley (2004) Frances (2004) Ivan (2004) Jeanne (2004) Dennis (2005) Wilma (2005) Matthew (2016) Irma (2017) Michael (2018) Dorian (2019) Ian (2022) Idalia (2023) Helene (2024) Milton (2024)","Major Hurricanes","",""
"San Francisco","Make School","","https://en.wikipedia.org/wiki/Make_School"
"Canton","Malone University","","https://en.wikipedia.org/wiki/Malone_University"
"Manchester","Manchester Community College","","https://en.wikipedia.org/wiki/Manchester_Community_College_(Connecticut)"
"North Manchester","Manchester University","","https://en.wikipedia.org/wiki/Manchester_University_(Indiana)"
"Riverdale, Bronx, New York","Manhattan University","","https://en.wikipedia.org/wiki/Manhattan_University"
"Riverdale, New York","Manhattan University School Of Engineering","",""
"Purchase","Manhattanville University","","https://en.wikipedia.org/wiki/Manhattanville_University"
"ended affiliation with the Catholic Church in 1971","Manhattanville University ( Purchase, New York )","",""
"Manipal","Manipal Academy Of Higher Education","https://en.wikipedia.org/wiki/Manipal","https://en.wikipedia.org/wiki/Manipal_Academy_of_Higher_Education"
"University College of the North Yellowquill College","Manitoba","",""
"Fayetteville","Manna University","","https://en.wikipedia.org/w/index.php?title=Manna_University&action=edit&redlink=1"
"Mannheim","Mannheim University Of Applied Sciences","https://en.wikipedia.org/wiki/Mannheim","https://en.wikipedia.org/wiki/University_of_Mannheim"
"Jenkintown, Pennsylvania","Manor College","","https://en.wikipedia.org/wiki/Manor_College"
"Mansfield","Mansfield Female College","",""
"Mansfield","Mansfield University Of Pennsylvania","https://en.wikipedia.org/wiki/Mansfield,_Pennsylvania","https://en.wikipedia.org/wiki/Mansfield_University_of_Pennsylvania"
"East Haddam","Maplewood Music Seminary","",""
"Watertown, Wisconsin","Maranatha Baptist University","","https://en.wikipedia.org/wiki/Maranatha_Baptist_University"
"Bandung","Maranatha Christian University","https://en.wikipedia.org/wiki/Bandung","https://en.wikipedia.org/wiki/Bandung_Institute_of_Technology"
"Pittsburgh","Margaret Morrison Carnegie College","","https://en.wikipedia.org/wiki/Margaret_Morrison_Carnegie_College"
"Lublin","Maria Curie-Skłodowska University","https://en.wikipedia.org/wiki/Lublin","https://en.wikipedia.org/wiki/Maria_Curie-Sk%C5%82odowska_University"
"Fond du Lac, Wisconsin","Marian University","","https://en.wikipedia.org/wiki/Marian_University_(Wisconsin)"
"Sisters of St. Francis Oldenburg","Marian University ( Indianapolis, Indiana )","",""
"Indianapolis, Indiana","Marian University College Of Osteopathic Medicine","","https://en.wikipedia.org/wiki/Marian_University_College_of_Osteopathic_Medicine"
"Batac, Ilocos Norte","Mariano Marcos State University","https://en.wikipedia.org/wiki/Batac,_Ilocos_Norte","https://en.wikipedia.org/wiki/Mariano_Marcos_State_University"
"Marietta","Marietta College","","https://en.wikipedia.org/wiki/Marietta_College"
"St. Louis","Marillac College","","https://en.wikipedia.org/wiki/Marillac_College"
"Quantico","Marine Corps University","","https://en.wikipedia.org/wiki/Marine_Corps_University"
"Marion","Marion College","","https://en.wikipedia.org/wiki/Marion_College_(Virginia)"
"Marion","Marion Military Institute","","https://en.wikipedia.org/wiki/Marion_Military_Institute"
"Marion","Marion Technical College","","https://en.wikipedia.org/wiki/Marion_Technical_College"
"Poughkeepsie","Marist College","https://en.wikipedia.org/wiki/Poughkeepsie_(city),_New_York","https://en.wikipedia.org/wiki/Vassar_College"
"ownership transferred to a lay board of trustees in 1969","Marist College ( Poughkeepsie, New York )","",""
"Brattleboro","Mark Hopkins College","","https://en.wikipedia.org/wiki/Walter_F._Hendricks#Mark_Hopkins_College_(1964-1972)"
"Marlboro","Marlboro College","","https://en.wikipedia.org/wiki/Marlboro_College"
"Milwaukee","Marquette University","","https://en.wikipedia.org/wiki/Marquette_University"
"Milwaukee, Wisconsin","Marquette University College Of Engineering","",""
"Milwaukee, Wisconsin","Marquette University Law School","","https://en.wikipedia.org/wiki/Marquette_University_Law_School"
"Milwaukee, Wisconsin","Marquette University School Of Dentistry","","https://en.wikipedia.org/wiki/Marquette_University_School_of_Dentistry"
"Mars Hill","Mars Hill University","https://en.wikipedia.org/wiki/Mars_Hill,_North_Carolina","https://en.wikipedia.org/wiki/Mars_Hill_University"
"Huntington","Marshall University","https://en.wikipedia.org/wiki/Huntington,_West_Virginia","https://en.wikipedia.org/wiki/Marshall_University"
"Marshalltown","Marshalltown Community College","","https://en.wikipedia.org/wiki/Marshalltown_Community_College"
"Abdington","Martha Washington College","",""
"Pulaski","Martin Female College","",""
"New Ulm","Martin Luther College","","https://en.wikipedia.org/wiki/Martin_Luther_College"
"Masaya , Rio Blanco , Nagarote , Matagalpa , San Rafael del Sur , Bonanza , Juigalpa","Martin Luther King Nicaraguan Evangelical University Universidad Evangélica Nicaragüense Martin Luther King","",""
"Halle (Saale)","Martin Luther University Of Halle-Wittenberg","https://en.wikipedia.org/wiki/Halle_(Saale)","https://en.wikipedia.org/wiki/Martin_Luther_University_of_Halle-Wittenberg"
"Managua , Jalapa , Ocotal , Quilalí , Condega , Muelle de los Bueyes , Nueva Guinea , Rivas , Somoto","Martin Luther University Universidad Martín Lutero","",""
"Indianapolis","Martin University","","https://en.wikipedia.org/wiki/Martin_University"
"Crockett","Mary Allen Seminary","","https://en.wikipedia.org/wiki/Mary_Allen_Seminary"
"Staunton","Mary Baldwin University","https://en.wikipedia.org/wiki/Staunton,_Virginia","https://en.wikipedia.org/wiki/Mary_Baldwin_University"
"Paris","Mary Connor Female College","",""
"West Point","Mary Holmes College","","https://en.wikipedia.org/wiki/Mary_Holmes_College"
"Toledo","Mary Manse College","","https://en.wikipedia.org/wiki/Mary_Manse_College"
"active from 1922 to 1975, was operated by the Ursuline Order of nuns","Mary Manse College ( Toledo, Ohio )","",""
"Winchester","Mary Sharp College","","https://en.wikipedia.org/wiki/Mary_Sharp_College"
"Davenport, Iowa","Marycrest College","","https://en.wikipedia.org/wiki/Marycrest_College_Historic_District"
"Davenport","Marycrest International University","","https://en.wikipedia.org/wiki/Marycrest_College_Historic_District"
"Memphis","Maryglade College","","https://en.wikipedia.org/wiki/Maryglade_College"
"Detroit, Michigan","Marygrove College","","https://en.wikipedia.org/wiki/Marygrove_College"
"-","Maryknoll Junior College","",""
"Baltimore","Maryland Institute College Of Art","","https://en.wikipedia.org/wiki/Maryland_Institute_College_of_Art"
"Oxford","Maryland Military And Naval Academy","","https://en.wikipedia.org/wiki/Maryland_Military_and_Naval_Academy"
"Laurel","Maryland University Of Integrative Health","","https://en.wikipedia.org/wiki/Maryland_University_of_Integrative_Health"
"Marylhurst","Marylhurst University","https://en.wikipedia.org/wiki/Marylhurst,_Oregon","https://en.wikipedia.org/wiki/Marylhurst_University"
"Rancho Palos Verdes, California","Marymount California University","","https://en.wikipedia.org/wiki/Marymount_California_University"
"Salina, Kansas","Marymount College","","https://en.wikipedia.org/wiki/Marymount_College_(Kansas)"
"Los Angeles","Marymount College Of Los Angeles","",""
"Manhattan","Marymount Manhattan College","","https://en.wikipedia.org/wiki/Marymount_Manhattan_College"
"founded by the Religious of the Sacred Heart of Mary","Marymount Manhattan College ( New York, New York )","",""
"Arlington","Marymount University","https://en.wikipedia.org/wiki/Arlington_County,_Virginia","https://en.wikipedia.org/wiki/Marymount_University"
"Maryville","Maryville College","","https://en.wikipedia.org/wiki/Maryville_College"
"Town and Country","Maryville University","","https://en.wikipedia.org/wiki/Maryville_University"
"renounced affiliation with the Catholic Church in 1972","Maryville University ( St. Louis, Missouri )","",""
"Scranton, Pennsylvania","Marywood University","","https://en.wikipedia.org/wiki/Marywood_University"
"472","Mass Maritime","","https://en.wikipedia.org/wiki/Massachusetts_Maritime"
"Wellesley","Massachusetts Bay Community College","","https://en.wikipedia.org/wiki/Massachusetts_Bay_Community_College"
"Boston","Massachusetts College Of Art And Design","","https://en.wikipedia.org/wiki/Massachusetts_College_of_Art_and_Design"
"North Adams","Massachusetts College Of Liberal Arts","https://en.wikipedia.org/wiki/North_Adams,_Massachusetts","https://en.wikipedia.org/wiki/Massachusetts_College_of_Liberal_Arts"
"Boston , Worcester Manchester","Massachusetts College Of Pharmacy And Health Sciences","","https://en.wikipedia.org/wiki/Massachusetts_College_of_Pharmacy_and_Health_Sciences"
"Cambridge","Massachusetts Institute Of Technology","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts","https://en.wikipedia.org/wiki/Harvard_University"
"Bourne","Massachusetts Maritime Academy","","https://en.wikipedia.org/wiki/Massachusetts_Maritime_Academy"
"Andover","Massachusetts School Of Law","","https://en.wikipedia.org/wiki/Massachusetts_School_of_Law"
"Brockton , Middleboro , Canton","Massasoit Community College","","https://en.wikipedia.org/wiki/Massasoit_Community_College"
"Palmerston North","Massey University","https://en.wikipedia.org/wiki/Palmerston_North","https://en.wikipedia.org/wiki/Massey_University"
"Maynooth","Maynooth University","https://en.wikipedia.org/wiki/Maynooth","https://en.wikipedia.org/wiki/Maynooth_University"
"Rochester","Mayo Clinic College Of Medicine And Science","","https://en.wikipedia.org/wiki/Mayo_Clinic_College_of_Medicine_and_Science"
"Mayville","Mayville State University","https://en.wikipedia.org/wiki/Mayville,_North_Dakota","https://en.wikipedia.org/wiki/Mayville_State_University"
"McCall","Mccall College","","https://en.wikipedia.org/wiki/McCall_College"
"Hanover township","Mccann School Of Business And Technology","","https://en.wikipedia.org/wiki/McCann_School_of_Business_%26_Technology"
"Westminster","Mcdaniel College","https://en.wikipedia.org/wiki/Westminster,_Maryland","https://en.wikipedia.org/wiki/McDaniel_College"
"Budapest","Mcdaniel College Budapest","","https://en.wikipedia.org/wiki/McDaniel_College_Budapest"
"Montreal , Ste-Anne-de-Bellevue","Mcgill University","","https://en.wikipedia.org/wiki/McGill_University"
"No. 528","Mchenry County College","","https://en.wikipedia.org/wiki/McHenry_County_College"
"Innsbruck","Mci Management Center Innsbruck","https://en.wikipedia.org/wiki/Innsbruck","https://en.wikipedia.org/wiki/University_of_Innsbruck"
"Dover","Mcintosh College","","https://en.wikipedia.org/wiki/McIntosh_College"
"Lebanon","Mckendree University","https://en.wikipedia.org/wiki/Lebanon,_Illinois","https://en.wikipedia.org/wiki/McKendree_University"
"Waco","Mclennan Community College","","https://en.wikipedia.org/wiki/McLennan_Community_College"
"Hamilton","Mcmaster University","","https://en.wikipedia.org/wiki/McMaster_University"
"Abilene","Mcmurry University","https://en.wikipedia.org/wiki/Abilene,_Texas","https://en.wikipedia.org/wiki/Abilene_Christian_University"
"St. Paul","Mcnally Smith College Of Music","","https://en.wikipedia.org/wiki/McNally_Smith_College_of_Music"
"Midwifery Education Accreditation Council","Meac","","https://en.wikipedia.org/w/index.php?title=Midwifery_Education_Accreditation_Council&action=edit&redlink=1"
"Mecklenburg","Mecklenburg Female College","",""
"Rudy Crew , President","Medgar Evers College","","https://en.wikipedia.org/wiki/Medgar_Evers_College"
"Media","Media","",""
"Milwaukee","Medical College Of Wisconsin","","https://en.wikipedia.org/wiki/Medical_College_of_Wisconsin"
"formerly Marquette University College of Medicine","Medical College Of Wisconsin ( Milwaukee, Wisconsin )","",""
"Białystok","Medical University Of Białystok","https://en.wikipedia.org/wiki/Bia%C5%82ystok","https://en.wikipedia.org/wiki/University_of_Bia%C5%82ystok"
"Gdańsk","Medical University Of Gdańsk","https://en.wikipedia.org/wiki/Gda%C5%84sk","https://en.wikipedia.org/wiki/University_of_Gda%C5%84sk"
"Innsbruck","Medical University Of Innsbruck","https://en.wikipedia.org/wiki/Innsbruck","https://en.wikipedia.org/wiki/University_of_Innsbruck"
"Lublin","Medical University Of Lublin","https://en.wikipedia.org/wiki/Lublin","https://en.wikipedia.org/wiki/Maria_Curie-Sk%C5%82odowska_University"
"Charleston","Medical University Of South Carolina","","https://en.wikipedia.org/wiki/Medical_University_of_South_Carolina"
"Łódź","Medical University Of Łódź","https://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA","https://en.wikipedia.org/wiki/University_of_%C5%81%C3%B3d%C5%BA"
"Fairfax","Medtech College","",""
"Falls Church","Medtech Institute","","https://en.wikipedia.org/wiki/Medtech_(medical_education)"
"Nashville","Meharry Medical College","","https://en.wikipedia.org/wiki/Meharry_Medical_College"
"St. John's , Corner Brook , Harlow (United Kingdom)","Memorial University Of Newfoundland","","https://en.wikipedia.org/wiki/Memorial_University_of_Newfoundland"
"Memphis","Memphis College Of Art","","https://en.wikipedia.org/wiki/Memphis_College_of_Art"
"Cordova","Memphis Theological Seminary","","https://en.wikipedia.org/wiki/Memphis_Theological_Seminary"
"Atherton","Menlo College","","https://en.wikipedia.org/wiki/Menlo_College"
"Chris Vitelli, President","Merced College","","https://en.wikipedia.org/wiki/Merced_College"
"Private","Mercer","","https://en.wikipedia.org/wiki/Mercer_University#Athletics"
"Macon","Mercer University","https://en.wikipedia.org/wiki/Macon,_Georgia","https://en.wikipedia.org/wiki/Mercer_University"
"Detroit","Mercy College Of Detroit","",""
"Des Moines","Mercy College Of Health Sciences","","https://en.wikipedia.org/wiki/Mercy_College_of_Health_Sciences"
"Toledo","Mercy College Of Ohio","https://en.wikipedia.org/wiki/Toledo,_Ohio","https://en.wikipedia.org/wiki/University_of_Toledo"
"Dobbs Ferry","Mercy University","","https://en.wikipedia.org/wiki/Mercy_University"
"renounced affiliation with the Catholic Church in the 1970s","Mercy University ( Dobbs Ferry, New York )","",""
"North East township","Mercyhurst North East","","https://en.wikipedia.org/wiki/Mercyhurst_North_East"
"Erie city","Mercyhurst University","","https://en.wikipedia.org/wiki/Mercyhurst_University"
"Raleigh","Meredith College","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","https://en.wikipedia.org/wiki/North_Carolina_State_University"
"Meridian","Meridian Community College","","https://en.wikipedia.org/wiki/Meridian_Community_College"
"Meridian","Meridian Female College","","https://en.wikipedia.org/wiki/Meridian_Female_College"
"North Andover","Merrimack College","https://en.wikipedia.org/wiki/North_Andover,_Massachusetts","https://en.wikipedia.org/wiki/Merrimack_College"
"Tucumcari (Main)","Mesalands Community College","","https://en.wikipedia.org/wiki/Mesalands_Community_College"
"Belmar","Mesivta Keser Torah","",""
"Grantham","Messiah University","https://en.wikipedia.org/wiki/Grantham,_Pennsylvania","https://en.wikipedia.org/wiki/Messiah_University"
"Peoria","Methodist College","","https://en.wikipedia.org/wiki/Methodist_College_(Illinois)"
"Fayetteville","Methodist University","https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina","https://en.wikipedia.org/wiki/Methodist_University"
"Omaha","Metropolitan Community College","","https://en.wikipedia.org/wiki/Metropolitan_Community_College_(Omaha)"
"1996–1998","Metropolitan Community College (No. 541)","",""
"Saint Paul","Metropolitan State University","https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota","https://en.wikipedia.org/wiki/Saint_Catherine_University"
"Denver","Metropolitan State University Of Denver","","https://en.wikipedia.org/wiki/Metropolitan_State_University_of_Denver"
"Managua","Metropolitan University Universidad Metropolitana","",""
"Alexandria Baton Rouge Hammond Houma – Bayou Cane – Thibodaux Lafayette Lake Charles Monroe New Orleans Shreveport – Bossier City","Metros","","https://en.wikipedia.org/wiki/Louisiana_metropolitan_areas"
"Boston","Mgh Institute Of Health Professions","","https://en.wikipedia.org/wiki/MGH_Institute_of_Health_Professions"
"Eduardo J. Padrón , President","Miami Dade College","","https://en.wikipedia.org/wiki/Miami_Dade_College"
"Oxford","Miami University","https://en.wikipedia.org/wiki/Oxford,_Ohio","https://en.wikipedia.org/wiki/Miami_University"
"Oxford","Miami University , Oxford","",""
"Differdange","Miami University Dolibois European Center","","https://en.wikipedia.org/wiki/Miami_University_Dolibois_European_Center"
"Springboro","Miami Valley College","","https://en.wikipedia.org/wiki/Miami_Valley_College"
"Dayton","Miami-Jacobs Career College","","https://en.wikipedia.org/wiki/Miami-Jacobs_Career_College"
"Bay Mills Community College Keweenaw Bay Ojibwa Community College Saginaw Chippewa Tribal College","Michigan","",""
"Lansing","Michigan Female College","","https://en.wikipedia.org/wiki/Michigan_Female_College"
"Kalamazoo","Michigan Female Seminary","",""
"West Bloomfield Township","Michigan Jewish Institute","","https://en.wikipedia.org/wiki/Michigan_Jewish_Institute"
